Product Title,Cost,7 Day Sale,Total Sale,Review,Favorite,Cost_Group,Favorite_Group,Review_Group
"Chef Kitchen Knive Svg, Download file, Kitchen Knife Svg, Chef Svg, Cutting Tool, Cooking, Vector Cut file, Silhouette, Halloween knife svg",0.98,1,21.0,0,9,0,0,0
Miyuki 15/0 Delica - DBS267 - Opaque Blueberry Luster,1.12,35,150.0,0,9,0,0,0
5.5CM Gorgeous Burned Fabric Flowers For Hair Accessories Hemp Hair Flower With Tissue Stamen For Head Wear Dress,0.81,0,5.0,0,9,0,0,0
"Swan svg, Swan T-Shirt Design, Swan Vinyl Decal Cutting Files, Cricut Design Space, Swan png, Swan dxf, Swan Illustration, Swan Clipart",1.38,0,0.0,0,9,0,0,0
Fireworks & Freedom Patriotic Independence Day Sublimation Transfer - Ready to Press - Dye Sublimation - Design Transfer,0.9,0,2.0,0,4,0,0,0
MARRIAGE PROPOSAL |Canvas Printable - Pre Drawn Outline Canvas Wedding Ring -Paint night canvas  - Party Paint Kit-Coloring Pages,1.82,0,5.0,0,6,0,0,0
"Pumpkin Happy Halloween Svg Png, Trick Or Treat Svg , Spooky Vibes Svg, Witch Svg, Fall,  Svg , Png Files For Cricut Sublimation",1.75,0,0.0,0,10,0,0,0
"Swordfish Svg, Fish Hook Svg, Bass Fish Svg, Fisherman Svg. Vector Cut file Cricut, Silhouette, Pdf Png Eps Dxf, Decal, Sticker, Vinyl, Pin.",1.35,0,372.0,0,10,0,0,0
"Washing Machine SVG, Washer Outline Illustration Drawing, Laundry Svg Files for Cricut, Instant Download Vector Files, png, dxf, eps, pdf",1.75,0,2.0,0,9,0,0,0
Vintage Retro Camper Trailer 7/8,1.55,0,5.0,0,10,0,0,0
2pcs Filigree Stamping Ornaments Scrapbooking Metal Embellishments for Jewelry Making Mixed Media Art Projects Vintage Findings 32x55mm,1.49,0,3.0,0,10,0,0,0
CHRISTMAS NOEL Plastic Canvas Pre-Cut Ornament magnet Orney Plant Poke Wall Decor Needlepoint Sewing Crafts Sewing FREE Pattern,0.85,0,4.0,0,10,0,0,0
"from 10 cm, cotton jersey print, flowers, dusty green, green, scattered flowers",1.47,0,8.0,0,10,0,0,0
"Golden Window Druzy Connector, 8x10mm Oval Connector, Silver Connector, Cave Druzy Connector, Jewelry Making Supplies, (WGZ-11182)",1.49,43,43.0,0,10,0,0,0
Unfinished Wooden Christmas Tree Ornament Shape | Craft Supply **Bulk Pricing Available**  SHIPS FAST 3,0.78,82,212.0,0,10,0,0,0
Ready To Press | Sublimation Transfer | Black Women  Sublimation  - Christian Melanin Queen Women -  Heat Plus  - Black Girl s,1.49,0,4.0,0,10,0,0,0
1 Piece Inner 16mm Rectangular Rings D Rings,0.68,2,37.0,0,9,0,0,0
Gazzal Organic Baby Cotton | Amigurumi yarn | Crochet cotton yarn | Cotton Yarn  |  Soft cotton yarn | Knitting yarn,1.96,1,16.0,4,7,0,0,0
Burlap Bow with Wooden Love Heart for Crafts - Wedding Home Decor Shabby Chic Rustic Party Occasion Bows - Gift Wrapping,1.68,1,16.0,4,10,0,0,0
"1mm Linhasita Waxed Polyester Cord, Forest Green Macrame, Knotting String, Kumihimo, Leatherworking, Beading Thread, Friendship Bracelet",1.94,0,17.0,4,7,0,0,0
